food_name,category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,serving_size_g,serving_name
Onigiri (tuna mayo),Japanese,170.0,6.0,32.0,2.5,100.0,g (1 piece)
Onigiri (salmon),Japanese,160.0,7.0,31.0,2.0,100.0,g (1 piece)
Sushi Roll Hosomaki,Japanese,150.0,5.0,28.0,2.0,100.0,g (~4-5 pieces)
Gyoza (pan fried 6 pcs),Japanese,200.0,10.0,20.0,8.0,180.0,g (6 pieces)
Teriyaki Chicken,Japanese,160.0,22.0,8.0,5.0,150.0,g (1 serving)
Chicken Breast (cooked boneless),Protein,165.0,31.0,0.0,3.6,150.0,g
Chicken Thigh (cooked boneless),Protein,209.0,26.0,0.0,11.0,120.0,g
Salmon (cooked),Protein,208.0,20.0,0.0,13.0,150.0,g
Tuna (canned in water drained),Protein,116.0,26.0,0.0,1.0,142.0,g (1 can)
Egg (whole large),Protein,155.0,13.0,1.1,11.0,60.0,g (1 large egg)
Egg White (1 egg),Protein,52.0,11.0,0.7,0.2,33.0,g (1 egg white)
Tofu (firm),Protein,144.0,17.0,2.0,9.0,150.0,g
Pork Tenderloin (cooked),Protein,166.0,29.0,0.0,4.5,150.0,g
Beef (lean ground cooked),Protein,218.0,26.0,0.0,12.0,100.0,g
Shrimp (cooked),Protein,99.0,24.0,0.0,0.5,100.0,g
Greek Yogurt (plain 0% fat),Dairy,59.0,10.0,3.6,0.4,200.0,g (1 cup)
Greek Yogurt (plain 2% fat),Dairy,73.0,9.7,4.0,2.0,200.0,g (1 cup)
Cottage Cheese (low fat),Dairy,72.0,12.0,3.0,1.0,200.0,g (1 cup)
Whole Milk,Dairy,61.0,3.2,4.8,3.3,250.0,ml (1 glass)
Low-fat Milk (1%),Dairy,42.0,3.4,5.0,1.0,250.0,ml (1 glass)
Whey Protein Powder (1 scoop),Supplements,400.0,80.0,8.0,7.0,30.0,g (1 scoop ~120kcal)
Oats (cooked in water),Grains,71.0,2.5,12.0,1.5,240.0,g (1 cup cooked)
Oats (dry),Grains,389.0,17.0,66.0,7.0,40.0,g (dry before cooking)
Bread (white 1 slice),Grains,265.0,9.0,51.0,3.2,28.0,g (1 slice)
Bread (whole wheat 1 slice),Grains,247.0,13.0,41.0,4.2,28.0,g (1 slice)
Sweet Potato (baked),Grains,90.0,2.0,21.0,0.1,130.0,g (1 medium)
Banana,Fruit,89.0,1.1,23.0,0.3,120.0,g (1 medium)
Apple,Fruit,52.0,0.3,14.0,0.2,182.0,g (1 medium)
Mango,Fruit,60.0,0.8,15.0,0.4,165.0,g (1 cup sliced)
Peanut Butter,Fats,588.0,25.0,20.0,50.0,32.0,g (2 tbsp)
Almonds,Nuts,579.0,21.0,22.0,50.0,30.0,g (small handful)
Broccoli (steamed),Vegetables,34.0,2.8,7.0,0.4,91.0,g (1 cup)
Spinach (raw),Vegetables,23.0,2.9,3.6,0.4,30.0,g (1 cup raw)
Avocado,Fats,160.0,2.0,9.0,15.0,100.0,g (half avocado ~100g)
Olive Oil,Fats,884.0,0.0,0.0,100.0,14.0,ml (1 tbsp)
Protein Bar (generic),Supplements,380.0,30.0,40.0,10.0,60.0,g (1 bar)
7-Eleven Chicken Breast (Thai),Thai,110.0,22.0,1.0,2.0,100.0,g
7-Eleven Rice + Protein Set,Thai,145.0,10.0,20.0,3.5,300.0,g (1 set)
McDonald's McChicken,Western,250.0,14.0,27.0,10.0,145.0,g (1 burger)
McDonald's Grilled Chicken Wrap,Western,200.0,16.0,20.0,7.0,200.0,g (1 wrap)
Pizza Margherita (1 slice),Western,266.0,11.0,33.0,10.0,107.0,g (1 slice)
Pasta (cooked plain),Western,158.0,5.8,31.0,0.9,140.0,g (1 cup cooked)
Burger (regular beef),Western,295.0,17.0,24.0,14.0,150.0,g
Subway 6-inch Turkey,Western,280.0,20.0,40.0,4.5,220.0,g (6-inch)
Coffee (black),Drinks,2.0,0.3,0.0,0.0,240.0,ml (1 cup)
Coffee with Milk (Thai iced coffee),Drinks,80.0,2.0,13.0,2.5,200.0,ml
Orange Juice (fresh),Drinks,45.0,0.7,10.5,0.2,240.0,ml (1 glass)
Sports Drink (Gatorade),Drinks,26.0,0.0,6.5,0.0,240.0,ml (1 cup)
Protein Milk,My Foods,69.6,6.52,3.48,3.04,230.0,g (1 serving)
Protein Shake (20g),My Foods,40.0,80.0,0.0,0.0,25.0,g (1 serving)
Garlic Pork Rice,My Foods,60000.0,3000.0,7000.0,2000.0,1.0,Serving
Chicken Smoothie,My Foods,70.0,12.0,0.0,0.0,500.0,g (1 serving)
